Unidade de Saúde,GVE,Cidade,Endereço,Soro,Tipos de Soro,Telefone,latitude,longitude,24h
UNIDADE MISTA DE LUIZ ANTONIO,GVE 24 RIBEIRAO PRETO,LUIS ANTONIO,"R. Guilherme Brian, 1060, Luís Antônio - SP, 14210-000",0,,-,-21.55366257860938,-47.70113674400817,1
COMPLEXO MUNICIPAL DE SAUDE DE LUIZIANIA,GVE 11 ARACATUBA,LUIZIANIA,"R. Padre João Braem, 365, Luiziânia - SP, 16340-000",0,,(18) 3603-1160,"-21.675852739471967,",-50.32713449599909,1
CENTRO DE SAUDE DE LUPERCIO,GVE 19 MARILIA,LUPERCIO,"Praça Antônio Daun, 67 - Centro, Lupércio - SP, 17420-000",0,,(14) 3474-1135,-22.415609728166846,-49.816573087944164,0
CENTRO DE SAUDE DE LUTECIA,GVE 13 ASSIS,LUTECIA,"R. Manoel Lourenço, 353, Lutécia - SP, 19750-000",0,,(18) 3368-1129,"-22.339924569893675,",-50.391114572800305,0
SANTA CASA DE MACATUBA,GVE 15 BAURU,MACATUBA,"R. Carlos Gomes, 654 - CENTRO, Macatuba - SP, 17290-000",0,,(14) 3298-9200,-22.504179186769306,-48.71308243607001,1
SANTA CASA DE MACAUBAL,GVE 29 SÃO JOSÉ DO RIO PRETO,MACAUBAL,"RUA SETE DE SETEMBRO, Nº 1203 - CENTRO, 15270-000",1,ESCORPIÔNICO,(17) 3874-1408,-20.80773094765236,-49.96380449084127,1
UBS DE MACEDONIA,GVE 30 JALES,MACEDONIA,"Rua Dep Anisio Moreira, 439, Macedônia - SP, 15620-000",0,,(17) 3849-1162,"-20.068107185767758,",-49.99226067771721,1
CENTRO DE SAUDE III DE MAGDA,GVE 29 SAO JOSE DO RIO PRETO,MAGDA,"Rua Manoel Franco Junior, 522 - Centro, Magda - SP, 15310-000",0,,(17) 3487-1149,"-20.645643703757603,",-50.22385522867497,0
PRONTO ATENDIMENTO MUNICIPAL DE MAIRINQUE,GVE 31 SOROCABA,MAIRINQUE,"AVN MILTON CARDOSO LEITE, 151 - CANGUERINHA, Mairinque - SP, 18120-000",0,,(11) 4718-1500,"-23.546498009191374,",-47.19041277540746,1
HOSPITAL E MATERNIDADE DE MAIRIPORÃ,GVE 9 FRANCO DA ROCHA,MAIRIPORÃ,"RUA IPIRANGA Nº 280, CENTRO",1,ESCORPIÔNICO,(11) 4419-4422,"-23.320755988077003,",-46.589995979205234,1
UBS DR ALDEMAR HOLTZ DE ALMEIDA,GVE 16 BOTUCATU,MANDURI,"RUA RIO GRANDE DO SUL, 809",0,,(14) 3356-9202,-23.006759826583203,-49.3240873232731,0
CENTRO DE SAUDE MARABA PAULISTA UNIDADE SAUDE DA FAMILIA,GVE 22 PRESIDENTE VENCESLAU,MARABA PAULISTA,"R. José Teodoro, Marabá Paulista - SP, 19430-000",0,,(18) 3996-1125,-22.10785748997086,-51.96642848336339,0
HOSPITAL BENEFICENTE DE MARACAI,GVE 13 ASSIS,MARACAI,"Av. José Bonifácio, 382 - Centro, Maracaí - SP, 19840-000",0,,(18) 3371-2797,-22.612448147095865,-50.66738081361726,1
UBS DE MARAPOAMA,GVE 29 SAO JOSE DO RIO PRETO,MARAPOAMA,"Praça da Independencia, 160, Marapoama - SP, 15845-000",0,,(17) 3548-9000,-21.25774294346112,-49.1321011613398,1
CENTRO DE SAUDE DE MARIAPOLIS,GVE 19 MARILIA,MARIAPOLIS,"Praça Frei Dionisio Antonio Marinelli, 85 - Centro, Mariápolis - SP, 17810-000",0,,(18)3586-1234,-21.79857891335515,-51.18146543232734,0
HOSPITAL DE CLÍNICAS I (ADULTOS),GVE 19 MARILIA,MARILIA,"R. AZIZ ATALLAH, S/Nº",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",(14) 3434-2525,-22.226818781032204,-49.93509626106289,1
HOSPITAL DE CLÍNICAS II (CRIANÇAS),GVE 19 MARILIA,MARILIA,"AV. SAMPAIO VIDAL, 42",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",(14) 3434-2526,"-22.221766893255438,",-49.943551791546994,1
CS DE MARINOPOLIS,GVE 30 JALES,MARINOPOLIS,"RUA ESPIRITO SANTO, 130",0,,(17) 3695-1143,-20.440114780344135,-50.82343250352855,0
SANTA CASA DE MISERICÓRDIA,GVE 21 PRESIDENTE PRUDENTE,MARTINOPOLIS,"RUA JOSÉ HENRIQUE DE MELLO, 236",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(18) 3275-1000,-22.146068001423092,-51.169189870977746,1
HOSPITAL CARLOS FERNANDO MALZONI,GVE 12 ARARAQUARA,MATAO,"R. SINHARINHA FROTA, 556",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",(16) 3383-2500,"-21.605627074607952,",-48.36737210538814,1
HOSPITAL DE CLINICAS DR RADAMES NARDINI,GVE 7 SANTO ANDRE,MAUA,"R. Reg. Feijó, 166 - Vila Bocaina, Mauá - SP, 09310-640",0,,(11) 2666-5400,-23.669958856151915,-46.44858621991377,1
UBS BENEDICTA DO CARMO OLIVEIRA DONA DITA,GVE 29 SAO JOSE DO RIO PRETO,MENDONCA,"R. Angelo Petrolini, 350, Mendonça - SP, 15220-000",0,,(17) 3248-9550,-21.186912641926984,-49.578975102203536,0
UBS DE MERIDIANO,GVE 30 JALES,MERIDIANO,"R. João de Setembro, Meridiano - SP, 15625-000",0,,(17) 3475-1144,-20.356600627495446,-50.17509837749346,0
UBS DE MESOPOLIS,GVE 30 JALES,MESOPOLIS,"R. Direitos Humanos, 2164 - Centro, Mesópolis - SP, 15748-000",0,,-,-19.967622425744956,-50.62257291518398,0
SANTA CASA DE MIGUELOPOLIS,GVE 18 FRANCA,MIGUELOPOLIS,"R. José Jacobe Daur, s/n - Centro, Miguelópolis - SP, 14530-000",0,,(16) 3835-6700,"-20.18303539944913,",-48.02752731332962,1
PRONTO ATENDIMENTO MUNICIPAL DE MINEIROS DO TIETE,GVE 15 BAURU,MINEIROS DO TIETE,"R. Sub Delegado Ferrinho, 535 - Centro, Mineiros do Tietê - SP, 17320-037",0,,(14)3646-1217,-22.411870331033803,-48.4472316979843,1
UBS DE MIRA ESTRELA,GVE 30 JALES,MIRA ESTRELA,"Praça Benedito Castrequini, 472 - Centro, Mira Estrela - SP, 15580-000",0,,(17) 3846-1219,-19.979240503643034,-50.13737468262403,0
PRONTO ATENDIMENTO MIYOJI KAYO,GVE 23 REGISTRO,MIRACATU,"AV. DONA EVARISTA DE CASTRO FERREIRA, 77 - CENTRO",1,"BOTRÓPICO, ESCORPIÔNICO E ARACNÍDICO.",(13) 3847-7010,-24.28583672990062,-47.45768352867496,1
HOSP. EST. DR. OSWALDO BRANADI FARIA - MIRANDÓPOLIS,GVE 11 ARACATUBA,MIRANDOPOLIS,"AV. DR. RAUL DA CUNHA BUENO, 585",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",(18) 3701-1611,-21.124814960850443,-51.102375975221555,1
PRONTO ATENDIMENTO MUNICIPAL,GVE 22 PRESIDENTE VENCESLAU,MIRANTE DO PARANAPANEMA,"AV. ZIL BRASIL, 320",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(18) 3991-1292,"-22.28507335047169,",-51.906043182638946,1
HOSPITAL E MATERNIDADE MAE DO DIVINO AMOR,GVE 29 SAO JOSE DO RIO PRETO,MIRASSOL,"R. Rui Barbosa, 2019 - Centro, Mirassol - SP, 15130-000",0,,(17) 3253-9830,-20.815148557032476,-49.511491240311614,1
CSIII DE MIRASSOLANDIA,GVE 29 SAO JOSE DO RIO PRETO,MIRASSOLANDIA,"R. Eugênio Ponchio, 477, Mirassolândia - SP, 15145-000",0,,(17) 3263-2318,-20.615370714639955,-49.46478302918552,1
UNIDADE DE PRONTO ATENDIMENTO,GVE 26 SAO JOAO DA BOA VISTA,MOCOCA,"AV. SAUDADE, 1445 - CENTRO",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO E LONÔMICO.",(19) 3656-9200,"-21.46329898475123,",-47.0063953973012,1
HOSPITAL LUZIA PINHO DE MELO,GVE 8 MOGI DAS CRUZES,MOGI DAS CRUZES,RUA MANOEL DE OLIVEIRA S/N,1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ARACNÍDICO, ESCORPIÔNICO E LONÔMICO.",(11) 3583-2800,-23.5104707561846,-46.19368489612994,1
SANTA CASA DE MISERICÓRDIA,GVE 26 SAO JOAO DA BOA VISTA,MOGI GUACU,"R. CHICO DE PAULA, 608",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",(19) 3818-5943,-22.36438355061544,-46.94246378263894,1
UNIDADE DE PRONTO ATENDIMENTO,GVE 26 SAO JOAO DA BOA VISTA,MOGI MIRIM,"ROD. ELZIO MARIOTONI, 369",1,ESCORPIÔNICO,(19) 3804-1011,-22.430760885454216,-46.936053840972896,1
UNIDADE MISTA DE SAUDE DE MOMBUCA,GVE 20 PIRACICABA,MOMBUCA,"R. Gerson Maschio, 60 - Jardim das Oliveiras, Mombuca - SP, 13375-000",0,,-,-22.933267811009475,-47.56402449242124,1
ESTRATEGIA SAUDE DA FAMILIA DE MONCOES,GVE 29 SAO JOSE DO RIO PRETO,MONCOES,"R. Rio Branco, Monções - SP, 15275-000",0,,(17) 3484-1231,-20.851088093109777,-50.09643794031161,0
UPA MONGAGUÁ,GVE 25 SANTOS,MONGAGUA,"AV. MONTEIRO LOBATO, 9.400 – AGENOR DE CAMPOS",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(13) 3507-1110,-24.12524261560944,-46.6845272477061,1
CENTRO DE SAUDE III MONTE ALEGRE DO SUL,GVE 17 CAMPINAS,MONTE ALEGRE DO SUL,"R. Pref. José Amaral - Monte Alegre do Sul, SP, 13820-000",0,,(19) 3899-1300,-22.685992914795293,-46.68088434398164,0
PRONTO SOCORRO MUNICIPAL DE MONTE ALTO,GVE 24 RIBEIRAO PRETO,MONTE ALTO,"RUA JEREMIAS DE PAULA EDUARDO, 2287, CENTRO",1,ESCORPIÔNICO,(16) 3242-2100 / 8358,-21.264363132462357,-48.50146669187151,1
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE MONTE APRAZÍVEL,GVE 29 SAO JOSE DO RIO PRETO,MONTE APRAZÍVEL,"RUA SÃO JOÃO, 729, CENTRO, 15150-000",1,ESCORPIÔNICO,(17) 3275-9510,-20.771470590728523,-49.7078430746671,1
HOSPITAL SENHOR BOM JESUS,GVE 14 BARRETOS,MONTE AZUL PAULISTA,"R. Rui Barbosa, 267 - Centro, Monte Azul Paulista - SP, 14730-000",0,,(17) 3361-9210,-20.905012990272294,-48.63701640725605,1
CENTRO DE SAUDE DE MONTE CASTELO VICE PREFEITO CHIGAMI SUZUK,GVE 22 PRESIDENTE VENCESLAU,MONTE CASTELO,"R. Joana Maria Genebra Sferra, 319 - Centro, Monte Castelo - SP, 17960-000",0,,(18) 3855-1171,-21.299302380297867,-51.56944833722147,0
ASSOCIACAO HOSPITAL BENEFICENTE SAGRADO CORACAO DE JESUS,GVE 17 CAMPINAS,MONTE MOR,"Av. Jânio Quadros, 1000 - Centro, Monte Mor - SP, 13190-000",0,,(19) 3879-1999,"-22.950329326875327,",-47.30524686912835,1
CENTRO DE SAÚDE III DR. JOÃO AURICCHO,GVE 27 SAO JOSE DOS CAMPOS,MONTEIRO LOBATO,"RUA ANTÔNIO ALVES MAGALHÃES, 20 – CENTRO",1,"ESCORPIÔNICO, FONÉUTRICO E ARACNÍDICO.",(12) 3979-1124,"-22.92984092026602,",-45.65112421159655,1
HOSP. SÃO MARCOS DA SAMA,GVE 18 FRANCA,MORRO AGUDO,"R. SEBASTIÃO ANTONIO MUNIZ, 164",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(16) 3851-3000,-20.684351632032527,-47.89022774504242,1
HOSPITAL MUNICIPAL SANTO ANTONIO,GVE 17 CAMPINAS,MORUNGABA,"Rua André Aparecido Tomazino, n° 28 - Jardim Ana, Morungaba - SP, 13262-036",0,,(11) 4014-4624,-22.841214447927012,-46.621140283581525,1
CMO OCTAVIO THOMAZ DE AQUINO MOTUCA,GVE 12 ARARAQUARA,MOTUCA,"R. Gerudy Figueiredo - Centro, Motuca - SP, 14835-000",0,,1633489400,-21.51198124360294,-48.15072660620204,0
UBS II ANATALICIO DE OLIVEIRA DE MURUTINGA DO SUL,GVE 11 ARACATUBA,MURUTINGA DO SUL,"R. Orlando Molina, 187, Murutinga do Sul - SP, 16950-000",0,,(18) 3788-1406,-20.98874471508313,-51.27821235932618,0
UNIDADE BASICA DE SAUDE,GVE 21 PRESIDENTE PRUDENTE,NANTES,"R. Gonçalves de Assis, 352, Nantes - SP, 19650-013",0,,(18) 3268-6181,-22.621326837158065,-51.238194959793645,0
UBS II DE NARANDIBA COM SERVICO DE ESF,GVE 21 PRESIDENTE PRUDENTE,NARANDIBA,"R. Alves de Almeida, Narandiba - SP, 19220-000",0,,(18) 3992-1101,-22.405930187368607,-51.52272238842492,0
CENTRO DE SAUDE DE NATIVIDADE DA SERRA,GVE 33 TAUBATE,NATIVIDADE DA SERRA,"R. José F da Silva - Natividade da Serra, SP, 12180-000",0,,(12) 3677-1102,-23.37884800432854,-45.446259561407004,0
HOSPITAL MUNICIPAL DE NAZARE PAULISTA,GVE 17 CAMPINAS,NAZARE PAULISTA,"Ezau Avelino Pinheiro, 100, Nazaré Paulista - SP, 12960-000",0,,(11) 4597-1588,-23.1609757381528,-46.392871748239564,1
SANTA CASA DE NEVES PAULISTA,GVE 29 SAO JOSE DO RIO PRETO,NEVES PAULISTA,"R. Floriano Peixoto, 95 - Centro, Neves Paulista - SP, 15120-000",0,,(17) 3271-1297,-20.8503627286818,-49.63133216890974,1
HOSPITAL SAO DOMINGOS NA PROV DE DEUS NHANDEARA,GVE 29 SAO JOSE DO RIO PRETO,NHANDEARA,"R. Nossa Sra. das Graças, 272 - Vila Aparecia, Nhandeara - SP, 15190-000",0,,(17) 3467-4910,-20.698500446262898,-50.03439057893023,1
CS DE NIPOA,GVE 29 SAO JOSE DO RIO PRETO,NIPOA,"R. Rio de Janeiro, 873, Nipoã - SP, 15240-000",0,,-,"-20.91506570141902,",-49.77999839344096,0
CS DE NOVA ALIANCA,GVE 29 SAO JOSE DO RIO PRETO,NOVA ALIANCA,"R. Rio Preto - Nova Aliança, SP, 15210-000",0,,(17) 3811-1208,-21.018857160643126,-49.50111999242124,1
UNIDADE DE SAÚDE JOÃO RODRIGUES DE PROENÇA,GVE 32 ITAPEVA,NOVA CAMPINA,"R. JOÃO NUNES DE OLIVEIRA, 525 - CENTRO - 18435-000",1,ESCORPIÔNICO E ARACNÍDICO.,(15) 3535-1264,-24.120942639083598,-48.90638945560411,0
UBS DE NOVA CANAA PAULISTA,GVE 30 JALES,NOVA CANAA PAULISTA,"R. Seis, 576, Nova Canaã Paulista - SP, 15773-000",0,,-,-20.389535733758187,-50.947118205454196,0
UBS PROF PAULO RICOY DE CAMARGO NOVA CASTILHO,GVE 11 ARACATUBA,NOVA CASTILHO,"R. Sete de Setembro, 381, Nova Castilho - SP, 15313-000",0,,(17) 3831-6160,-20.76230282838826,-50.33934869242125,0
SANTA CASA DE MISERICORDIA NOVA EUROPA,GVE 12 ARARAQUARA,NOVA EUROPA,"R. Osvaldo Pongetti, Nova Europa - SP, 14920-000",0,,(16) 3387-1312,-21.777691728120605,-48.56582599638519,1
P. S. MUNICIPAL DE NOVA GRANADA,GVE 29 SAO JOSE DO RIO PRETO,NOVA GRANADA,"AV. DR. HILDEBERTO A. FERREIRA, Nº 1271, CENTRO",1,ESCORPIÔNICO,(17) 3262-2843,"-20.537443961014503,",-49.323525461393245,1
CENTRO DE SAUDE DE NOVA GUATAPORANGA,GVE 22 PRESIDENTE VENCESLAU,NOVA GUATAPORANGA,"R. Brasil, 315 - Centro, Nova Guataporanga - SP, 17950-000",0,,(18) 3856-1249,-21.33586921025056,-51.64415254031161,0
UBS II LENIR SPAZZAPAN DE ALENCAR NOVA INDEPENDENCIA,GVE 11 ARACATUBA,NOVA INDEPENDENCIA,"Av. Euríco Soares Andrade, 595-691, Nova Independência - SP, 16940-000",0,,(18) 3744-1135,-21.10557855401869,-51.49132294530779,1
UBS III NOVA LUZITANIA,GVE 11 ARACATUBA,NOVA LUZITANIA,"R. José da Silva Carvalhais, 1660, Nova Luzitânia - SP, 15340-000",0,,(17) 3483-1213,"-20.871525676581243,",-50.24492469427559,0
HOSPITAL E MATERNIDADE MUNICIPAL DR ACILIO CARRION GARCIA,GVE 17 CAMPINAS,NOVA ODESSA,"R. Aristídes Bassora, s/n - Bosque dos Cedros, Nova Odessa - SP, 13460-000",0,,(19) 3476-8194,"-22.78004106082403,",-47.299392245863345,1
PRONTO ATENDIMENTO DE NOVAIS,GVE 29 SAO JOSE DO RIO PRETO,NOVAIS,"R. Maj. João Batista Novais, 466, Novais - SP, 15885-000",0,,(17) 3561-1181,-20.94849499399212,-48.89217235561096,1
IRMANDADE SANTA CASA DE MISERICÓRDIA,GVE 29 SAO JOSE DO RIO PRETO,NOVO HORIZONTE,"RUA VINTE E OITO DE OUTUBRO, 1202 - CENTRO",1,"BOTRÓPICO, CROTÁLICO E ESCORPIÔNICO",(17) 3542-9292 / (17) 3542-1020,-21.466076053796584,-49.22633019989115,1
HOSPITAL SAO GERALDO DE NUPORANGA,GVE 18 FRANCA,NUPORANGA,"R. São José, 287 - Centro, Nuporanga - SP, 14670-000",0,,(16) 3847-1129,-20.7298590548356,-47.749092572856654,1
CENTRO DE SAUDE DE OCAUCU,GVE 19 MARILIA,OCAUCU,"Av. Celeste Casagrande, 115, Ocauçu - SP, 17540-023",0,,(14) 3475-1205,-22.439040837871815,-49.919526328108105,0
CS III DR RICARDO FRANKLIN DE MELLO,GVE 13 ASSIS,OLEO,"R. José Antônio Salgado, 111 - Óleo, SP, 18790-013",0,,(14) 3357-1400,"-22.94257647618675,",-49.34281265143771,0
UNIDADE DE PRONTO ATENDIMENTO 24 H WILSON ZANGIROLAMI,GVE 14 BARRETOS,OLIMPIA,"AV. VALDEMAR LOPES FERRAZ, 288 - CENTRO",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",(17) 3281-6044 / 3280-6305,-20.738185371282352,-48.90358873022546,1
CS DE ONDA VERDE,GVE 29 SAO JOSE DO RIO PRETO,ONDA VERDE,"R. Luzia da Silva Florêncio, 1000, Onda Verde - SP, 15450-000",0,,(17) 3268-1186,-20.605480625950683,-49.29897895241232,1
UNIDADE MISTA DE SAUDE DE ORIENTE,GVE 19 MARILIA,ORIENTE,"R. Mário Reis, 213, Oriente - SP, 17570-000",0,,-,-22.15321039526107,-50.09316795987316,1
CS DE ORINDIÚVA,GVE 29 SAO JOSE DO RIO PRETO,ORINDIÚVA,"AV. FRANCISCO TOMÁS AQUINO, 170 - 250, ORINDIÚVA - SP, 15480-000",1,"BOTRÓPICO, CROTÁLICO E ESCORPIÔNICO",(17) 3816-1297,-20.183237679749144,-49.35132463051773,1
HOSP. BENEFICENTE SANTO ANTONIO DE ORLÂNDIA,GVE 18 FRANCA,ORLÂNDIA,"AV. 3, 941",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(16) 3820-4200,-20.723997719050043,-47.89134460249255,1
HOSPITAL MUNICIPAL ANTONIO GIGLIO,GVE 10 OSASCO,OSASCO,"R. Pedro Fioretti, 48 - Centro, Osasco - SP, 06013-070",0,,(11) 2183-9333,-23.532009775617382,-46.77630235380261,1
CS DE OSCAR BRESSANE PSF,GVE 19 MARILIA,OSCAR BRESSANE,"R. Vitório Girotto, 403, Oscar Bressane - SP, 19770-000",0,,(14) 3457-1138,-22.31630339687843,-50.2805113538026,0
SANTA CASA DE MISERICORDIA DE OSVALDO CRUZ,GVE 19 MARILIA,OSVALDO CRUZ,"Av. Pres. Vargas, 1 - Vila Sao Luis, Osvaldo Cruz - SP, 17700-190",0,,(18) 3529-9558,-21.803628773745316,-50.876193174711005,1
SANTA CASA DE OURINHOS,GVE 13 ASSIS,OURINHOS,"RUA D. PEDRO I, Nº 716, VILA MORAES",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",(14) 3322-1133,-22.983761820206208,-49.862236056158665,1
UBS MARCIA CRISTIANE DA SILVA DE OURO VERDE,GVE 22 PRESIDENTE VENCESLAU,OURO VERDE,"R. Pernambuco, 648 - Centro, Ouro Verde - SP, 17920-000",0,,(18) 3872-1186,-21.48756202139075,-51.699787521205415,0
HOSP. MUNICIPAL JOÃO VELOSO OUROESTE,GVE 30 JALES,OUROESTE,AV. BANDEIRANTES 1026 CENTRO,1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(17) 3843-1312,-20.004537051288345,-50.36977942311193,1
PRONTO SOCORRO MUNICIPAL DE PACAEMBU,GVE 19 MARILIA,PACAEMBU,"Av. Gentil Valter Ribeiro, 360 - Jardim Marajá, Pacaembu - SP, 17860-000",0,,(18) 3862-1724,-21.563971621025804,-51.251301474711,1
CS DE PALESTINA,GVE 29 SAO JOSE DO RIO PRETO,PALESTINA,"R. Zinho Dutra, 1271 - Palestina, SP, 15470-000",0,,(17) 3293-1345,-20.394466254749585,-49.43877521740663,1
UBS III OLAVO DOMINGUES,GVE 29 SAO JOSE DO RIO PRETO,PALMARES PAULISTA,"R. Sete de Setembro, 342, Palmares Paulista - SP, 15828-000",0,,(17) 3587-1164,-21.083137866048293,-48.79931129983864,1
SANTA CASA DE PALMEIRA D'OESTE,GVE 30 JALES,PALMEIRA D'OESTE,"Av. Carlos Gomes, 4929 - Centro, Palmeira d'Oeste - SP, 15720-000",0,,(17) 3651-1432,-20.417694397095197,-50.76158264716215,1
SANTA CASA DE MISERICORDIA DE PALMITAL,GVE 13 ASSIS,PALMITAL,"Rua Alameda da Paz, 80 - Paraná, Palmital - SP, 19973-144",0,,(18) 3351-9100,"-22.791549285361782,",-50.21593081781735,1
PRONTO ATENDIMENTO MUNICIPAL,GVE 22 PRESIDENTE VENCESLAU,PANORAMA,"RUA MANOEL FERNANDES DA CUNHA, 512",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(18) 3871-1583,-21.360693314470947,-51.85753937336721,1
SANTA CASA DE PARAGUAÇU PAULISTA,GVE 13 ASSIS,PARAGUACU PAULISTA,"RUA CARAMURU Nº 568, CENTRO",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",(18) 3361-1133,-22.414325208612084,-50.57876873792462,1
UNIDADE DE PRONTO ATENDIMENTO,GVE 27 SAO JOSE DOS CAMPOS,PARAIBUNA,"RUA MAJOR SOARES, S/N",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO, ARACNÍDICO.",(12) 3974-0003,-23.387301919651772,-45.659092287965294,1
UBS I EMILIO BARATTO,GVE 29 SAO JOSE DO RIO PRETO,PARAISO,"R. São Pedro, 705, Paraíso - SP, 15825-000",0,,(17 )3567-9511,-21.01696818877723,-48.768567005912224,1
HOSPITAL MUNICIPAL LEONARDUS VAN MELLIS,GVE 16 BOTUCATU,PARANAPANEMA,"RUA URIAS DOMINGUES LEITE, S/Nº, CENTRO",1,ESCORPIÔNICO,(14) 3713-9131,-23.386994994210152,-48.72576849242124,1
CS DE PARANAPUA,GVE 30 JALES,PARANAPUA,"R. Dr. Júlio Amaral, 2528, Paranapuã - SP, 15745-000",0,,(17) 3648-9020,-20.1047017981353,-50.58514760540169,0
SANTA CASA DE PARAPUA,GVE 19 MARILIA,PARAPUA,"R. Fortaleza, 725 - Centro, Parapuã - SP, 17730-000",0,,(18) 3582-1393,-21.78459562306745,-50.79077295009392,1
UNIDADE MISTA DE PARDINHO,GVE 16 BOTUCATU,PARDINHO,"R. Francisco Eburneo, 100, Pardinho - SP, 18640-000",0,,(14) 3886-1334,-23.08349699419675,-48.372603803547335,1
HOSPITAL REGIONAL DRº LEOPOLDO BEVILACQUA,GVE 23 REGISTRO,PARIQUERA ACU,"RUA DO EXPEDICIONÁRIOS, 140 - CENTRO",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO, LONÔMICO E ESCORPIÔNICO.",(13) 3856-9600,-24.717055003510566,-47.878806967151775,1
USF AMADEU GARCIA DE SOUZA PARISI,GVE 29 SAO JOSE DO RIO PRETO,PARISI,"R. Aurélio Parize - 292, Parisi - SP, 15525-000",0,,(17)3839-1138,-20.302549105208755,-50.01264024031162,0
SANTA CASA DE MISERICÓRDIA DE PATROCÍNIO PTA.,GVE 18 FRANCA,PATROCINIO PAULISTA,"R. CÔNEGO PEREGRINO, 1181",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(16) 3145-1121,-20.64338730035597,-47.27959819427559,1
CS DR JOSE A NOGUEIRA ESF I ROSIMAR DE ARAUJO FRANCO,GVE 22 PRESIDENTE VENCESLAU,PAULICEIA,"Av. Paulista, 1671 - Centro, Paulicéia - SP, 17990-000",0,,(18)3876-1156,-21.314156280102612,-51.83178583660292,0
HOSPITAL MUNICIPAL DE PAULINIA,GVE 17 CAMPINAS,PAULINIA,"R. Miguel Vicente Cury, 100 - Nova Paulínia, Paulínia - SP, 13140-000",0,,(19) 3874-5500,-22.770246624609722,-47.148817526820636,1
UNIDADE MARIA NAZARETH,GVE 15 BAURU,PAULISTANIA,"R. José Porfírio, 18 - Centro, Paulistânia - SP, 17150-027",0,,(14) 3275-1015,-22.53525583723521,-49.51010324246996,0
SANTA CASA DE PAULO DE FARIA,GVE 29 SAO JOSE DO RIO PRETO,PAULO DE FARIA,"R. Zenha Ribeiro, 958 - Centro, Paulo de Faria - SP, 15490-000",0,,(17) 3292-1291,-20.029493863070403,-49.400394519403214,1
SANTA CASA DE PEDERNEIRAS,GVE 15 BAURU,PEDERNEIRAS,"Av. Paulista, O-325 - Centro, Pederneiras - SP, 17280-000",0,,(14) 3283-8380,-22.350297234562003,-48.77911199056689,1
UNIDADE BASICA DE SAUDE DR JORGE HIRODI ORITA,GVE 17 CAMPINAS,PEDRA BELA,"R. Bernardino de Lima Paes, 51, Pedra Bela - SP, 12990-000",0,,(11) 4037-1495,-22.796551303263087,-46.44273064216596,0
UBS DE PEDRANOPOLIS,GVE 30 JALES,PEDRANOPOLIS,"R. Antônio Milhorini, 368 - Centro, Pedranópolis - SP, 15630-000",0,,(17)3838-1159,-20.24814634633004,-50.10836705063088,0
SANTA CASA DE MISERICÓRDIA - PEDREGULHO,GVE 18 FRANCA,PEDREGULHO,"R. TENENTE SALVIANO, 125",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(16) 3711-2149,-20.258341022671353,-47.475906513329626,1
FUNDACAO BENEFICIENTE DE PEDREIRA,GVE 17 CAMPINAS,PEDREIRA,"Rua Henriqueta Rondelo Canesso, 161 - Vila Canesso, Pedreira - SP, 13920-000",0,,(19) 3852-9630,-22.74484788783692,-46.91793560804125,1
UBS DR PRIMO RUY,GVE 13 ASSIS,PEDRINHAS PAULISTA,"R. Paraná, 265-301, Pedrinhas Paulista - SP, 19865-000",0,,(18) 3375-1365,-22.81319995220732,-50.79214004823957,0
